State,Recommendations,EditorPick,Count
AK,1493.0,3.0,98
AL,2083.0,5.0,141
AR,1946.0,3.0,97
AZ,15749.0,20.0,708
CA,96473.0,170.0,4820
CO,17465.0,27.0,869
CT,24026.0,63.0,1205
DC,10402.0,38.0,767
DE,1406.0,2.0,117
FL,39303.0,66.0,2240
GA,8990.0,24.0,651
GU,104.0,1.0,4
HI,3130.0,3.0,96
IA,4599.0,8.0,294
ID,1541.0,4.0,130
IL,22669.0,42.0,1135
IN,5274.0,13.0,313
KS,2201.0,7.0,134
KY,1367.0,4.0,147
LA,3637.0,18.0,295
MA,52248.0,113.0,2220
MD,23507.0,45.0,1158
ME,17416.0,21.0,582
MI,23036.0,35.0,1095
MN,12395.0,23.0,681
MO,2418.0,8.0,247
MS,1828.0,6.0,120
MT,2947.0,6.0,177
NC,25788.0,34.0,1157
ND,182.0,0.0,13
NE,1177.0,0.0,72
NH,13814.0,15.0,533
NJ,57142.0,134.0,2957
NM,8133.0,14.0,531
NV,3156.0,6.0,239
NY,206138.0,395.0,8834
OH,20117.0,42.0,1097
OK,4552.0,5.0,183
OR,21167.0,30.0,970
PA,20999.0,59.0,1375
PR,107.0,1.0,16
RI,6367.0,17.0,261
SC,8550.0,24.0,512
SD,188.0,2.0,20
TN,4192.0,6.0,314
TX,34435.0,74.0,2027
UT,2963.0,4.0,205
VA,37335.0,57.0,1451
VI,0.0,0.0,2
VT,10735.0,16.0,634
WA,16664.0,19.0,830
WI,14096.0,26.0,525
WV,255.0,2.0,41
WY,118.0,1.0,27
