,date,longitude,latitude,Sentiment,Unnamed: 0,Unnamed: 0.1,Recommendations,EditorPick,userID,Comment_b
0,2015-07-08-01,-122.1269,44.5672,0,21241.0,24950.0,19.0,0.0,64631470.0,1.0
1,2015-07-08-01,-119.7462,36.17,0,19083.0,24969.0,25.0,1.0,69673872.0,1.0
2,2015-07-08-01,-119.7462,36.17,1,19082.0,24946.0,22.0,0.0,27920024.0,1.0
3,2015-07-08-01,-119.7462,36.17,1,19084.0,24971.0,10.0,0.0,23851694.0,1.0
4,2015-07-08-01,-92.302,38.4623,1,23778.0,24957.0,9.0,1.0,26366817.0,1.0
5,2015-07-08-01,-89.6385,44.2563,1,19604.0,24927.0,10.0,0.0,18362779.0,1.0
6,2015-07-08-01,-84.5603,43.3504,1,23371.0,24935.0,105.0,0.0,72467220.0,1.0
7,2015-07-08-01,-82.7755,40.3736,0,24386.0,24956.0,18.0,0.0,65315998.0,1.0
8,2015-07-08-01,-78.2057,37.768,0,13227.0,24999.0,52.0,1.0,32357594.0,1.0
9,2015-07-08-01,-77.264,40.5773,0,13728.0,24963.0,8.0,0.0,1920112.0,1.0
10,2015-07-08-01,-77.0262,38.8964,1,24655.0,24966.0,11.0,0.0,113125.0,1.0
11,2015-07-08-01,-74.5089,40.314,0,20757.0,24968.0,22.0,0.0,9728009.0,1.0
12,2015-07-08-01,-74.5089,40.314,1,20758.0,24974.0,17.0,0.0,60256437.0,1.0
13,2015-07-08-01,-74.5089,40.314,1,20755.0,24948.0,30.0,0.0,26556077.0,1.0
14,2015-07-08-01,-71.5314,42.2373,1,21844.0,24941.0,10.0,0.0,56852144.0,1.0
15,2015-07-09-01,-122.1269,44.5672,1,21240.0,24884.0,76.0,0.0,37105403.0,1.0
16,2015-07-09-01,-122.1269,44.5672,1,21239.0,24813.0,14.0,0.0,2603164.0,1.0
17,2015-07-09-01,-121.5708,47.3917,0,23073.0,24978.0,8.0,0.0,57553427.0,1.0
18,2015-07-09-01,-121.5708,47.3917,1,23072.0,24791.0,7.0,0.0,4172229.0,1.0
19,2015-07-09-01,-119.7462,36.17,0,19073.0,24790.0,11.0,0.0,72065695.0,1.0
20,2015-07-09-01,-119.7462,36.17,0,19072.0,24783.0,8.0,0.0,49260903.0,1.0
21,2015-07-09-01,-119.7462,36.17,0,19077.0,24835.0,40.0,0.0,60211101.0,1.0
22,2015-07-09-01,-119.7462,36.17,1,19081.0,24924.0,49.0,0.0,48068261.0,1.0
23,2015-07-09-01,-119.7462,36.17,1,19075.0,24809.0,4.0,0.0,24055552.0,1.0
24,2015-07-09-01,-119.7462,36.17,1,19078.0,24873.0,15.0,0.0,63412434.0,1.0
25,2015-07-09-01,-119.7462,36.17,1,19079.0,24898.0,109.0,1.0,59251445.0,1.0
26,2015-07-09-01,-119.7462,36.17,1,19085.0,24984.0,55.0,1.0,60372962.0,1.0
27,2015-07-09-01,-117.1219,38.4199,1,24776.0,24805.0,3.0,0.0,59656291.0,1.0
28,2015-07-09-01,-111.8535,40.1135,1,24717.0,24889.0,48.0,0.0,46824470.0,1.0
29,2015-07-09-01,-111.3877,33.7712,1,13403.0,24994.0,11.0,0.0,45592437.0,1.0
30,2015-07-09-01,-111.3877,33.7712,1,13402.0,24818.0,15.0,0.0,23175881.0,1.0
31,2015-07-09-01,-106.2371,34.8375,1,22493.0,24802.0,8.0,0.0,41260666.0,1.0
32,2015-07-09-01,-106.2371,34.8375,1,22492.0,24798.0,7.0,1.0,41460031.0,1.0
33,2015-07-09-01,-105.3272,39.0646,1,23609.0,24817.0,18.0,0.0,65248780.0,1.0
34,2015-07-09-01,-97.6475,31.106,0,17652.0,24979.0,10.0,0.0,66761134.0,1.0
35,2015-07-09-01,-97.6475,31.106,1,17651.0,24827.0,6.0,0.0,35186053.0,1.0
36,2015-07-09-01,-93.9196,45.7326,1,16871.0,24787.0,8.0,0.0,56958676.0,1.0
37,2015-07-09-01,-93.214,42.0046,0,16954.0,24842.0,36.0,0.0,25344344.0,1.0
