,Comment,URL,Recommendations,Locations,EditorPick,userID,date
0,"All you have to know about this post is its author and the language he uses in the article.  ""Poltical hay,"" ""keep other national politicians off her political turf,"" ""pushing for the bill because it wins her political points,"" ""Senator Warren prefers sweeping, overly broad pronouncements about complex issues while ignoring their nuances,"" ""tar and feather"" -- I could go on with his loaded, over-the-top language.  Mr. Cohan is simply going to bat for Antonio Weiss, with whom he acknowledges a brief connection.  As a supporter of Senator Warren, I've gotten used to these attacks from Wall Street.  I'd be surprised if others couldn't see through this flimsy attack.",http://www.nytimes.com/2015/09/08/upshot/is-trump-the-candidate-reform-conservatives-are-seeking.html,18,"Westport, MA",False,70273716,1417707367
1,"Ross, I'd love for once to hear you talk about substance in the Republican candidates. For example, I'd honestly be interested in hearing what you find interesting in Paul and Rubio as far as regenerating the Repub party. <br/><br/>What I'd REALLY love to hear from you, though, is how you can live with the frankly nutty stuff and its current dominance in your party—people who don't believe in evolution, who regularly denigrate science, who have a poor education or ignorance of the world (like the TP congressional candidate who, when asked what our stance should be towards Saudi Arabia, said that ""we should have free trade with them""), who believe that 47% of the nation is on some kind of welfare, who don't acknowledge the failures of our healthcare system but claim the ACA has ""death panels"", and so on. <br/><br/>These are not minor threads: It's a rare Repub candidate who'll depart from the party line in these things—say, who argues against the ACA for substantive reasons while backing anything at all to help ordinary people get care. And shutting the government down to try to un-pass a duly-passed law is pretty extreme and loony as well. <br/><br/>We know you're intelligent and thoughtful, Ross. So how do you see these things? How can you live with a party that promotes them? The lack of Repubs speaking out against birthers doesn't shame you? The prospect of Ted Cruz or Michelle Bachmann as a candidate does not alarm you? ",,0,"NH, USA",False,57232950,1416411084
2,"Not only is Clinton likely to go further to the right than Obama, given her track record and her support of Wall Street, but she will also be like ""waving a red flag in front of a bull"" (to echo Boehner's recent use of this phrase) and will generate the same level of mindless opposition that Obama has engendered.  First you had a black man born in Kenya for President, now let's have the white woman responsible for Vince Foster's death run to succeed him.  Not going to work very well.  Even if she is ellected.  There will be mindless opposition regardless of the policies she promotes.  For example, who doubts that Mitt Romney could have passed something like the Affordable Care Act, as a successor to Massachusett's implementation of the same system?  After all, Obamacare was a Repulbican idea.  It only was opposed because the right was prejudiced against Obama.  Clinton's proposals would suffer the same fate.  I'm sorry, the Democrats really need to nominate a white male this time. ",,1,Seattle,False,3885882,1415817608
3,"Voting was down in all but 10 states in the recent midterrms. The state that saw the largest increase was Louisiana with 5.5%. Washington saw the largest decline in turnout at 25.1% 2014 against 2010. The majority of States were down. Turnout was 33.9% of eligible voters, 89,099,496 voters in 2010 and just 76,945,726 in 2014. <br/><br/>That's how much caring our Parties excite.<br/><br/>Hillary is really the Republican the old guard GOP should pull for; Bill Clinton wasn't a Democrat and neither is his wife except in name. Bernie Sanders and Elizabeth Warren are the Democrats that are true alternatives. Hillary is to Democrats and Republicans what Ike was; not a Liberal, but not the John Bircher that extremists in the McCarthy days preferred for the country.<br/><br/>Well, times have changed. Tea Party John Bircher Libertarians dominate what was the GOP and is the modern Republican Party. The Democrat Party was destroyed in the McGovern days when Americans were wallowing in the loss of the war in Vietnam and trying to come to terms with the changed world that had begun to emerge from America's domination in the shadow of World War II.<br/><br/>The Liberals are now the progressives but since they have no power in Congress, and no ear in the Conservative Obama White House, their functional budget and proposals are lost in a nation that desperately needs them.<br/><br/>Hillary isn't a good choice at all, but she's as preferable to the Gilded Age Ideology of Rubio, Jeb, and Paul as was Barack over McCain and Romney.<br/>.",,11,Seattle,False,22502625,1415860375
4,"I'll repeat my prediction here, first made on election night 2014, that, in spite of their overwhelming victory, the GOP has not basically changed from a party which lives from, fosters and perpetuates, social conflict and political ignorance through the multitude of ""nut cases"" in its midst. <br/><br/>There is no ""reform conservative"" renewal of the GOP, as much as Douthart and Brooks would like to talk it into existance. To think that Marco Rubio is the best the GOP might have to offer in 2016 is just too pathetic for words.<br/><br/>The ""nut cases"" in the GOP, including Cruz (and Huckabee, btw) will dominate the primaries and will continue to make the GOP a laughing stock on the national level. And with their current majority in both houses, the GOP will continue to pound away at repealing ACA, and will focus on devisive issues to feed the ignorance and prejudices of their core constituents, and thus fail the test of actually governing at the national level.<br/><br/>Having supported Hillory Clinton in 2008 until the ""bitter end"", even I am not enthused by the prospect of her candidacy in 2016 (her statements on Syria recently demostrate a complete unawareness of our mistakes in the Middle East), but in a face-off between Hillary and Marco Rubio (or Paul Rand), she will be obviously the superior candidate, in intellectual capacity, experience and stature.",,20,"Seattle, Munich",False,58268518,1415814933
5,"Some react to emergencies with calm knowing full well that lives are at stake -- they know that ungoverned fear is a mind-killer and that panic can be a death-sentence. Emergencies must be confronted with intelligence and self-possession ... or the emergency claims you.<br/><br/>It's encouraging that SOMETHING good came of Abscam, in this case for Larry Pressler -- I remember at the time thinking that we'd sunk pretty low when we had allowed that the HIGHLY dubious practice of police entrapment be extended to FBI stings of congressmen. This practice has long been attacked by ethicists, and it's always repulsed me -- the excuses given for its use remind me of the excuses Wall Street traders give for the most purely parasitic occupation ever invented by man, save MAYBE professional hit man. That having been said, it should be remembered that the only pol who refused the FBI's entrapment ploys was a Republican.<br/><br/>I liked David's jab at Chris Christie: the best Christie jokes come from Republicans and fellow travelers on the right -- all you hear from the left on Christie is hate, and that's rarely funny.<br/><br/>ObamaCare is fading temporarily as an issue only because it's done its job to destroy those who cling to it. It's been replaced for the nonce with the president's foreign policy skills, with which Republican candidates are tarring every Democrat within reach. And effectively so. We'll hear more about the ACA when insurers hike rates -- we'll hear the screams from all OVER America.",,0,New Jersey,False,47123844,1413394118
6,"The Race To The Bottom Continues.....<br/><br/>AbbVie is simlply implementing the so called Capitalist model ballyhooed by so many so called ""Patriots"" and conservatives. The ""free market"" will without governmental interference or socialist redistribution schemes like coporations who generate billions of dollars of revenue paying effective federal tax rates comparable to those paid by natural or naturalized US citizens. And of course, no one should be opposed to AbbVie orchestrating a transaction which results in it paying a effective federal tax rate of 13% instead of 22%, which is already significantly lower than the statutory federal corporate top tax rate of 35%. Thats the fault of our byzantine uncompetitive federal tax code.  Strangely, no one making that assessment seems to mention how our federal tax code became so convoluted and byzantine with uncompetitive provisions like inversion.<br/><br/>Economic Cannibalism like AbbVie's will continue to undermine the foundations of our Republic.Objections from co-opted political and regulatory agents are empty theater. In response some paid media enabler or even the billionaire chief will respond to denounce our outrage as ""class warefare"", ""redistribution"".  The cruel irony is the framework being defended is also a redistribution scheme, for the the top 2%. <br/><br/>More tragic is our documented inability to rectify these excesses by Princeton's study;<br/><br/><a href=""http://m.newyorker.com/online/blogs/johncassidy/2014/04/is-america-an-oligarchy.html"" title=""http://m.newyorker.com/online/blogs/johncassidy/2014/04/is-america-an-oligarchy.html"" target=""_blank"">http://m.newyorker.com/online/blogs/johncassidy/2014/04/is-america-an-ol...</a>",,0,USA,False,31962443,1405877618
7,"this has to stop, AbbVie and soon Walgreens are joining a growing team of corporate U.S. tax dodgers who are stripping us, the rest of the U.S., from rightful revenue to support our standard of living, governance and defense.<br/><br/>Shame on them and more shame on us if we dont do something soon to stop them",,16,"Brooklyn, NY",False,67152427,1405690547
8,"Max @ #8<br /><br />With all due respect, how does the Holocaust differ from the genocide perpetrated by the Khmer Rouge in Kampuchea (Cambodia)?<br /><br />Both premeditated and savagely planned. Both executed with horrifying efficiency. Both initially ignored by the western powers.<br /><br />The only difference is that the Jews will keep this horrid episode in the human psyche for many more years. As precautionary means the value of such endeavor is essential to the human race, however, I hope we are not enshrining these horrible events in our savage history in a Genocide Hall of Fame with points to be awarded based only on number of books written about any such event.<br /><br />On the other hand, Slavery, while it may not have instituted murder as its ends its adherents did not shy away from killing those that opposed it. This period of our history similarly required of a citizenry the suspension of reason in order to legitimize the dehumanization of individuals based on skin color or provenance to the point of making the slave owners the ultimate word on life or death for their negroes and compounded the immoral proceedings by adding the prospect of personal profit on the basis of another being's life.<br /><br />All of these events are beyond reasonable excuse and deserve equal disdain from anyone who values human life in all its colors, genders, ages, creeds and ethnic divergences. To utilize any of these as a trump card in achieving political upsmanship devalues the human suffering and trivializes the ability of mankind to commit horrible crimes against its own.<br />",,2,"New York, NY",False,40750055,1267550375
9,"Podesta (#39) –<br /><br />I think you deliberately misunderstand the whole point of my post.  I am not sure how you can interpret “no question that slavery in America was horrible” as a racist comment.  Please try to put things into perspective.  Hyperbole tends to get you in trouble with the facts.  That is the material point.<br /><br />That you dismiss all other slavery that has ever existed (and still exists) in the world as second rate or “not real” in comparison to slavery in America is just plain wrong.  My basic argument here is that you afford other slaves throughout history that same level of understanding that you demand for the American disaster.  Your problem lies in starting with the conclusion that other slaves in other places and times weren’t “really” slaves in your opinion.  That, sir, is insensitive on your part.<br /><br />Even if we take your opinion as fact (this being a debate – hopefully among friends), the purchase of slaves from the West Cost of Africa through triangular trade was not unique to the North American colonies.  Though you are convinced of your convictions, it does you no good to label anyone who may disagree with you as “Neo-Confederate” – especially since it is so obviously intended as an insult.  You diminish the validity of your otherwise legitimate arguments by unbecoming cheap shots.<br /><br />You demand that anyone who disagrees should buy and read the books you cite, but you cite no sources in your diatribe.  Though I am admittedly not an expert by any stretch, my opinions on the horrors of American slavery come from historians such as Jim McPherson, Ed Ayers, and others whose expertise is in the American Civil War and who list slavery as its primary cause. I’ve read slave narratives, such as “Slavery Remembered”, and have a dog-eared copy of “Before Freedom Came” on my shelf.  I simply disagree with your belittlement of all other slavery throughout the whole of human existence. It is, on your part, hyperbole at its worst, and THAT is my point.<br /><br />In the end, this whole discussion is about whether public figures ought to engage in pop-referencing slavery and the Holocaust for dramatic affect.  As I stated twice in the first post, they should not.  Why must you keep fighting?",,2,Virginia,False,55384043,1267452373
