candidate,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
hilary_pos,win election democratic nomination party general vote democrats think clinton,email server private state information classified government emails use secretary,president hillary woman america rodham united states qualified ms clinton,mrs mr clinton republican good party obama position wehner republicans,biden joe run president clinton better race presidency vp man,times story coverage nyt news ny reporting page clinton readers,trump republican bush donald gop clinton hillary candidates like fiorina,hilary bernie win joe hiding like run left wow better,sanders bernie hillary support clinton media candidate campaign socialist need,change people just black don like blm lives want know
hilary_neg,biden joe run president obama democrats hilary clinton warren vice,classified server email information state emails private secretary clinton department,clintons bushes sick tired barry vote obamas white democrat gets,black lives matter laws crime incarceration community blow clinton rights,people clinton know want ms just like don president american,trump bush republican clinton hillary jeb candidates donald wehner candidate,apology policy blm matter change time past clintons impart rant,times coverage new york ny clinton hillary editor dowd article,story news nyt criminal wrong page investigation clinton times headline,sanders bernie support democratic vote democrat hillary candidate clinton party
sanders_pos,vote primary ll election general bernie hope republican democratic voting,love bernie sanders fight stands good believes agree 59 leader,people tax class country american pay middle money social way,win good lose want bernie luck don nomination sale sanders,senator sanders mr good wish agree times america elected speak,hillary clinton left sanders support bush obama republicans warren far,candidate democratic candidates issues party voters republican campaign sanders media,right need left america bernie people wing person puts sanders,like bernie need fresh vermont stand air breath chance know,president sanders running bernie run ticket person democratic socialist make
sanders_neg,hillary clinton sanders issues just doesn ll good look make,truth say guts reality senators sanders power speak bernie honesty,vote chance getting bernie nomination little know ll got hands,bernie great small just thing politician candidate work political gail,senator acknowledged sanders candidate courage long profile issue effort compromise,president let badly universe bernie sanders different obama understands need,money tax sanders country education sen corporate need jobs ordinary,people american class tpp middle stand energy bernie america needs,party democratic republican warren left don democrats candidate elizabeth sanders,mr media sanders socialist times voters candidacy fox voice coverage
biden_pos,sanders bernie clinton support help biden big issues elect socialist,president vice great make biden candidate time mr clinton woman,run love joe don biden welcome win chance far gaffs,trump donald lifelong better biden dems look bush gop clown,clinton democratic nomination party win candidate election biden campaign mrs,vote republican choice voting won clinton bush probably candidates like,good man mr biden politics honest live president legacy end,like just don think people want really old know bush,hillary race republicans time joe support candidate make democrats biden,joe biden country beau obama best experience right vp family
biden_neg,democratic party run biden candidate trump polls candidates nomination democrats,old middle sen feel demographics totally grief guy female white,bernie sanders truth just joe afraid hillary dance people pen,joe run son crazy time biden think life campaign uncle,president vice biden make man good huge beau replaced like,obama biden term corrupt job run iran just president deal,hillary think problem want biden wouldn nightmare joe emails ear,mr nyt article times new dowd biden ms colbert terribly,media friends nyt mainstream hrc machine people fox choices integrity,clinton don vote like biden sanders sound bad republican democrats
trump_pos,great make america trump country president world save wall leader,republican party trump republicans candidate candidates democratic nomination win best,mr trump bruni ramos brooks ms column better says blow,sanders bernie hillary clinton trump candidates brooks carson biden democrats,bush jeb hillary win trump clinton president nomination election george,immigration illegal immigrants americans tax american country taxes jobs class,people like trump think just don want president say money,gop trump candidate candidates party vote establishment win years class,donald best love thing better trump time just maureen president,media trump kelly news debate ramos women fox megyn did
trump_neg,party republican base trump republicans democrats democratic voters tea candidates,illegal immigrants immigration americans legal aliens issue laws law citizenship,jeb bush clinton trump rubio hillary like walker fiorina christie,donald trump mccain wrong bad think john candidate ted shows,sanders bernie hillary clinton media candidate democratic brooks carson trump,mr trump bruni blow americans media column egan past blind,ramos conference press trump questions reporter question news ask journalist,women kelly megyn fox trump woman news said dowd debate,people trump like president just country think america really don,gop trump base candidates issue voters single political presidential conservative
bush_pos,republican party republicans kasich win candidates voters nomination gop candidate,tax plan cuts economic taxes rich income class growth surprise,trump donald gop bush thing people like polls media party,mr spanish flawless bush command doesn english candidates fluent sense,hillary clinton biden sanders joe bernie run maureen just candidate,work hours time people jobs americans working need week workers,government federal 10 congress workers jobs today reagan employees money,bush family president war george good like iraq bushes country,jeb brother candidate george campaign man colbert money bush make,smart smarter supposed thought brother oxymoron bush jeb doesn rest
bush_neg,trump donald like just mr republicans jeb say people republican,bushes clintons say wh sanders poor ll smart continuing time,tax growth cuts rate income middle class average plan taxes,work people hours working jobs time mr just need longer,jeb bush brother george family bad campaign father smarter smart,clinton hillary president bush country america political candidate dynasty biden,war iraq iran obama policy president brother foreign bush cheney,walker cruz carson scott ben rubio huckabee ted candidates mike,gop party base republican candidates anti vote groups candidate bush,kasich look governor malley candidates better president vs ohio presidential
carson_pos,president obama dr carson experience running insulted say life office,gay science evolution scientist choice carson surgeon scientists like doesn,dr care health carson insurance government pay medical tax poor,gop wing right carson make cain dr mainstream article herman,sanders brooks bernie trump experience political david senator governing loyalty,ben carson really great people think real sure candidate time,black party republicans republican people democrats carson white african race,trump debate mr voters night republican candidates did rubio didn,bush cruz paul huckabee walker christie rubio jeb like kasich,climb flaming said liberal college success conservative dr ve got
carson_neg,president candidates like time people hillary think question fox fiorina,sanders bernie trump brooks senator experience ideas governing party little,kasich vis biggest huckabee times argued didn mike unconditional gantry,bush cruz huckabee walker trump rubio fiorina jeb ted paul,tax 10 flat wealth billion make income big population dr,students high junior far right debate thank school feet little,black party white republican gop carson man base conservative obama,dr carson poor government health care work just healthcare like,mr vote say believe trump plausible doesn nomination carson people,ben ross knows know man douthat york god good cnn
