,date,longitude,latitude,Sentiment,Comment_b
0,2015-07-16-01,-122.1269,44.5672,0,True
1,2015-07-16-01,-122.1269,44.5672,1,True
2,2015-07-16-01,-121.5708,47.3917,1,True
3,2015-07-16-01,-119.7462,36.17,0,True
4,2015-07-16-01,-119.7462,36.17,0,True
5,2015-07-16-01,-119.7462,36.17,0,True
6,2015-07-16-01,-119.7462,36.17,1,True
7,2015-07-16-01,-119.7462,36.17,1,True
8,2015-07-16-01,-119.7462,36.17,1,True
9,2015-07-16-01,-119.7462,36.17,1,True
10,2015-07-16-01,-119.7462,36.17,1,True
11,2015-07-16-01,-114.5103,44.2394,1,True
12,2015-07-16-01,-111.8535,40.1135,0,True
13,2015-07-16-01,-111.8535,40.1135,1,True
14,2015-07-16-01,-111.3877,33.7712,0,True
15,2015-07-16-01,-111.3877,33.7712,0,True
16,2015-07-16-01,-111.3877,33.7712,1,True
17,2015-07-16-01,-111.3877,33.7712,1,True
18,2015-07-16-01,-105.3272,39.0646,1,True
19,2015-07-16-01,-105.3272,39.0646,1,True
20,2015-07-16-01,-97.6475,31.105999999999998,0,True
21,2015-07-16-01,-97.6475,31.105999999999998,1,True
22,2015-07-16-01,-97.6475,31.105999999999998,1,True
23,2015-07-16-01,-97.6475,31.105999999999998,1,True
24,2015-07-16-01,-97.6475,31.105999999999998,1,True
25,2015-07-16-01,-96.8005,38.5111,1,True
26,2015-07-16-01,-93.9196,45.7326,1,True
27,2015-07-16-01,-92.3809,34.9513,0,True
28,2015-07-16-01,-89.6812,32.7673,1,True
29,2015-07-16-01,-89.6385,44.2563,1,True
30,2015-07-16-01,-89.0022,40.3363,1,True
31,2015-07-16-01,-89.0022,40.3363,1,True
32,2015-07-16-01,-89.0022,40.3363,1,True
33,2015-07-16-01,-86.7489,35.7449,1,True
34,2015-07-16-01,-84.5603,43.3504,0,True
35,2015-07-16-01,-84.5603,43.3504,1,True
36,2015-07-16-01,-84.5603,43.3504,1,True
37,2015-07-16-01,-83.6487,32.9866,0,True
38,2015-07-16-01,-83.6487,32.9866,1,True
39,2015-07-16-01,-83.6487,32.9866,1,True
40,2015-07-16-01,-82.7755,40.3736,1,True
41,2015-07-16-01,-81.717,27.8333,0,True
42,2015-07-16-01,-81.717,27.8333,0,True
43,2015-07-16-01,-81.717,27.8333,0,True
44,2015-07-16-01,-81.717,27.8333,0,True
45,2015-07-16-01,-81.717,27.8333,0,True
46,2015-07-16-01,-81.717,27.8333,1,True
47,2015-07-16-01,-81.717,27.8333,1,True
48,2015-07-16-01,-81.717,27.8333,1,True
49,2015-07-16-01,-81.717,27.8333,1,True
50,2015-07-16-01,-81.717,27.8333,1,True
51,2015-07-16-01,-79.8431,35.6411,0,True
52,2015-07-16-01,-79.8431,35.6411,1,True
53,2015-07-16-01,-78.2057,37.768,0,True
54,2015-07-16-01,-78.2057,37.768,1,True
55,2015-07-16-01,-78.2057,37.768,1,True
56,2015-07-16-01,-77.264,40.5773,0,True
57,2015-07-16-01,-77.264,40.5773,1,True
58,2015-07-16-01,-77.264,40.5773,1,True
59,2015-07-16-01,-77.0262,38.8964,0,True
60,2015-07-16-01,-77.0262,38.8964,1,True
61,2015-07-16-01,-77.0262,38.8964,1,True
62,2015-07-16-01,-77.0262,38.8964,1,True
63,2015-07-16-01,-76.7902,39.0724,0,True
64,2015-07-16-01,-76.7902,39.0724,0,True
65,2015-07-16-01,-76.7902,39.0724,1,True
66,2015-07-16-01,-76.7902,39.0724,1,True
67,2015-07-16-01,-76.7902,39.0724,1,True
68,2015-07-16-01,-75.5148,39.3498,0,True
69,2015-07-16-01,-74.9384,42.1497,0,True
70,2015-07-16-01,-74.9384,42.1497,0,True
71,2015-07-16-01,-74.9384,42.1497,0,True
72,2015-07-16-01,-74.9384,42.1497,0,True
73,2015-07-16-01,-74.9384,42.1497,0,True
74,2015-07-16-01,-74.9384,42.1497,0,True
75,2015-07-16-01,-74.9384,42.1497,0,True
76,2015-07-16-01,-74.9384,42.1497,0,True
77,2015-07-16-01,-74.9384,42.1497,0,True
78,2015-07-16-01,-74.9384,42.1497,0,True
79,2015-07-16-01,-74.9384,42.1497,0,True
80,2015-07-16-01,-74.9384,42.1497,0,True
81,2015-07-16-01,-74.9384,42.1497,0,True
82,2015-07-16-01,-74.9384,42.1497,0,True
83,2015-07-16-01,-74.9384,42.1497,1,True
84,2015-07-16-01,-74.9384,42.1497,1,True
85,2015-07-16-01,-74.9384,42.1497,1,True
86,2015-07-16-01,-74.9384,42.1497,1,True
87,2015-07-16-01,-74.9384,42.1497,1,True
88,2015-07-16-01,-74.9384,42.1497,1,True
89,2015-07-16-01,-74.9384,42.1497,1,True
90,2015-07-16-01,-74.9384,42.1497,1,True
91,2015-07-16-01,-74.9384,42.1497,1,True
92,2015-07-16-01,-74.9384,42.1497,1,True
