,date,Comment,Sentiment_b,longitude,latitude
23778,2015-07-08 21:23:11,"It's good that Bernie sanders is surging. I will be delighted if Snaders wins the candidacy &amp; the presidency. But it can't happen. He's no Reagan. If he were, charisma-wise, he would win, despite his age. He is authentic. He is straightforward and determined. But that isn't enough.Back in 2000, many just wanted to vote for Ralph Nader, not because he would win they thought, but they loved him so much, which blunted, even blinded their judgment. But it led to George W Bush's disastrous presidency. And even Sandra O'Connor regretted to rule to ""appoint"" GW Bush as president of the US. That's unlikely to repeat. For one thing, Sanders is not as intoxicated as Nader was. He said he would not be an obstructionist. He is unlikely to be a third party candidate.Unlike many think, both Bill &amp; Hillary Clinton are quite progressive. Their posture as ""moderate"" has been just practical to win elections. If Sanders surges, that will be cover for Clinton to pull left more than she would otherwise have. ",1.0,-92.302,38.4623
13726,2015-07-09 08:55:28,"Bill Clinton moved it right, and now Hilary Clinton moves it left. I am so sick of these people.",0.0,-77.264,40.5773
16661,2015-07-09 10:19:10,"New York Times reporters, headline makers, editors...hello?  Can you just let us know...are you naive, deluded, blind, bedazzled by the Clinton campaign? Paid by them?  Just too lazy to think deeply about who she is, what she is, where she comes from and where she's going.  How about this for a litmus test... Bernie Sanders has promised not to accept any campaign money from the fossil fuel industry. It says a lot about his concern for the environment as well as his concerns about international conflicts.  What does Clinton's refusal to take this pledge say about her?  New York Times, can you stop reporting on her rhetoric and report on facts?",0.0,-74.9384,42.1497
13223,2015-07-09 18:36:19,"“The problem for Hillary is that the country itself isn’t hungering for liberalism,” said Jeremy Mayer, an associate professor of politics at George Mason University. So, is the country hungering for more of the same conservatism that doesn't get anything done, that does nothing to advance the public/common good, that has nothing to offer but tax cuts for the few and fortunate?  One thing I have to believe the country is hungering for is that the ""deadbeats"" in the majority and in control of the House and Senate actually get off their duffs and do something, for a change. Neither Hilary nor Bernie nor any Democrat, for that matter, in the White House will ever be able to get anything done if the ""do-nothings"" led by Boehner and McConnell hold on to power. Is this what the country is hungering for?  More of the same obstruction that has prevailed while Obama has been in the White House?",1.0,-78.2057,37.768
17648,2015-07-10 19:10:32,How about NO more Bushes and NO more Clintons !!,0.0,-97.6475,31.105999999999998
16648,2015-07-11 09:36:15,"Sounds pretty nice to me, especially not having to rent a compound like the Clintons or Obamas, who shell out millions to do what Bush can do quite naturally.I'm sure the Clintons and Obamas are not serving Fritos and, instead, are putting on much costlier shows (ex., trying much harder).",1.0,-74.9384,42.1497
24713,2015-07-13 15:38:08,"Mrs. Clinton: ""That’s why families like mine read, talk, and sing endlessly to our granddaughter.” Instead of families like yours? Just what is she saying here?",0.0,-111.8535,40.1135
21832,2015-07-13 17:07:18,"An earlier NY Times article outlined GOP efforts to find dirt, fact or fiction, that will generate voter hatred for Hillary Clinton. This s what we've come to expect from a Party representing old, white, privileged elitists so devoid of ideas that hate-mongering becomes its high-priority campaign strategy.As I have commented several times in the past, I am skeptical about Mrs. Clinton as a candidate because I think that she, too, represents what has gone wrong in America's forum of public affairs, namely, an obsession with money and the diminution of democracy.That said, with every hate missile -- funded by shadowy super PACs that support the Republican Klown Kar -- the GOP so tiresomely aims at Hillary Clinton, the more I will move toward her camp. I only hope there are other folks going in the same direction.www.endthemadnessnow.org",0.0,-71.5314,42.2373
19435,2015-07-13 18:05:42,"I am amazed by the level of trivia published about Hillary Clinton as a potential candidate for Presidency. There are much more important issues of her lack of the qualities necessary for the Commander in Chief, such as no fighting spirit à la Madeleine Albright and no response to the injury of her pride by the sexual shenanigans of her husband.",1.0,-89.0022,40.3363
21236,2015-07-13 20:36:56,"Hillary Clinton did a great job in Libya, China, Russia, and Syria. She'd like to do a great job for the rest of the world too.",1.0,-122.1269,44.5672
19902,2015-07-14 01:54:49,"If she ends up the nominee, I will hold my nose and vote for the utterly calculating and inauthentic Ms. Clinton.  However, as a minimum wage earner myself, I am proud to be sending Bernie Sanders $10 every other week.He scares the heck out of the oligarchs, plutocrats, and their apologists like Mr. Brooks.  If Bernie Sanders shakes things up in Iowa, watch out.  ",1.0,-76.7902,39.0724
23776,2015-07-14 03:28:35,"Mr. Brooks continues to set up dichotomies that dictate the decision one must make.  He says of Sec. Clinton's economic ideas:  ""...in this view, government is more competent at steering companies toward their own best interests than the companies are themselves,"" or the overview, ""It’s less a negative assault on the elites and more an optimistic faith in the power of planning. The private sector is not evil or power hungry, just kind of dumb.""To examine the first, government and business interests aren't always the same.  Government is capable of making decisions about what is in the best long-term interest of the nation.  It is why we hold elections.  It is the bedrock of our republic.As to the second, the private sector is not monolithic.  There are good and bad actors both within and across industries. Think coal versus wind, for example.  Think public versus private education.Government's job is to get rid of the bad actors to level the playing field, to determine what's in the nation's best long-term interest, and provide services private sector cannot or should not be expected to provide.In Mr. Brook's utopian market economy, what happens is always right and in the best long-term interest of us all.  Some get hurt, but it is the small sacrifice to the market gods.The nation has seen thirty years of market economics. More and more, the people are deciding there is little to recommend it.",1.0,-92.302,38.4623
